"","county","cbsa","region","state","zip","year","Bedrooms","Rent"
"291","Franklin County","28420","Kennewick-Pasco-Richland","WA",99371,2012,"Studio",510
"292","Franklin County","28420","Kennewick-Pasco-Richland","WA",99371,2012,"One Bedroom",560
"293","Franklin County","28420","Kennewick-Pasco-Richland","WA",99371,2012,"Two Bedrooms",700
"294","Franklin County","28420","Kennewick-Pasco-Richland","WA",99371,2012,"Three Bedrooms",950
"295","Franklin County","28420","Kennewick-Pasco-Richland","WA",99371,2012,"Four Bedrooms",1120
"296","King County","42660","Seattle-Tacoma-Bellevue","WA",98001,2012,"Studio",930
"297","King County","42660","Seattle-Tacoma-Bellevue","WA",98001,2012,"One Bedroom",1060
"298","King County","42660","Seattle-Tacoma-Bellevue","WA",98001,2012,"Two Bedrooms",1280
"299","King County","42660","Seattle-Tacoma-Bellevue","WA",98001,2012,"Three Bedrooms",1810
"300","King County","42660","Seattle-Tacoma-Bellevue","WA",98001,2012,"Four Bedrooms",2210
"301","King County","42660","Seattle-Tacoma-Bellevue","WA",98002,2012,"Studio",650
"302","King County","42660","Seattle-Tacoma-Bellevue","WA",98002,2012,"One Bedroom",740
"303","King County","42660","Seattle-Tacoma-Bellevue","WA",98002,2012,"Two Bedrooms",890
"304","King County","42660","Seattle-Tacoma-Bellevue","WA",98002,2012,"Three Bedrooms",1260
"305","King County","42660","Seattle-Tacoma-Bellevue","WA",98002,2012,"Four Bedrooms",1540
"306","King County","42660","Seattle-Tacoma-Bellevue","WA",98003,2012,"Studio",690
"307","King County","42660","Seattle-Tacoma-Bellevue","WA",98003,2012,"One Bedroom",780
"308","King County","42660","Seattle-Tacoma-Bellevue","WA",98003,2012,"Two Bedrooms",940
"309","King County","42660","Seattle-Tacoma-Bellevue","WA",98003,2012,"Three Bedrooms",1330
